"What breed of dog was Marley in the film ""Marley & Me"" (2008)?"|Labrador Retriever
The largest consumer market in 2015 was...|The United States of America
"What is ""dabbing""?"|A dance
Folic acid is the synthetic form of which vitamin?|Vitamin B
In what year did the First World War end?|1918
Who voices the infamous Citadel Station A.I known as S.H.O.D.A.N, in the System Shock games?|Terri Brosius
"How many ""JoJos"" that are protagonists are there in the series ""Jojo's Bizarre Adventure""?"|8
What is the chemical makeup of water?|H20
What is Gabe Newell's favorite class in Team Fortress 2?|Spy
What is the name of NASA’s most famous space telescope?|Hubble Space Telescope
How long is a light-year?|9.461 Trillion Kilometres
"Who created the pump ""F.L.U.D.D."" Mario uses in Super Mario Sunshine?"|Elvin Gadd
A positron is an antiparticle of a what?|Electron
"Who wrote the children's story ""The Little Match Girl""?"|Hans Christian Andersen
In the Kingdom Hearts series, which is not an optional boss you can fight?|Master Yen Sid
What is the scientific name of the knee cap?|Patella
When was Minecraft first released to the public?|May 17th, 2009
Where was Kanye West born?|Atlanta, Georgia
Which one of these paintings is not by Caspar David Friedrich?|The Black Sea
"Who in Pulp Fiction says ""No, they got the metric system there, they wouldn't know what the fuck a Quarter Pounder is."""|Vincent Vega
Which of the following is not a character in the Street Fighter series?|Mai Shiranui
"In which mall does ""Dead Rising"" take place?"|Willamette Parkview Mall
"Which former boy-band star released hit solo single ""Angels"" in 1997?"|Robbie Williams
Which water-type Pokémon starter was introduced in the 4th generation of the series?|Piplup
Which ocean borders the west coast of the United States?|Pacific
Which US state has the highest population?|California
"In the ADV (English) Dub of the anime ""Ghost Stories"", which character is portrayed as a Pentacostal Christian?"|Momoko Koigakubo
Which music publication is often abbreviated to NME?|New Musical Express
Cesar Romero played which iconic Batman villain from the 1960's TV show?|The Joker
Which sign of the zodiac is represented by the Crab?|Cancer
Bridgetown is the capital of which island country in the Carribean?|Barbados
"Who played the Waitress in the Spam sketch of ""Monty Python's Flying Circus""?"|Terry Jones
In which state of America was the Fresh Prince of Bel-Air born and raised in?|Pennsylvania
Which actress danced the twist with John Travolta in 'Pulp Fiction'?|Uma Thurman
What are the names of the Ice Climbers in the video game Ice Climber?|Popo and Nana
What song originally performed by The Bee Gees in 1978 had a cover version by Steps 20 years later?|Tragedy
Laserjet and inkjet printers are both examples of what type of printer?|Non-impact printer
All of the following programs are classified as raster graphics editors EXCEPT:|Inkscape
What does the yellow diamond on the NFPA 704 fire diamond represent?|Reactivity
"What's the name of the main protagonist in the ""Legend of Zelda"" franchise?"|Link
"Frankenmuth, a US city nicknamed ""Little Bavaria"", is located in what state?"|Michigan
The core of the Sun can reach which temperature?|27° Million F (15° Million C)
Which country has the most Trappist breweries?|Belgium
"Which band recorded the album ""Parallel Lines""?"|Blondie
Which of the following is NOT a real element?|Vitrainium
Which of these cities is NOT in England?|Edinburgh
"Which franchise was NOT featured in the 2015 video game ""Lego Dimensions""?"|Breaking Bad
"Madonna's song ""Hung Up"" includes a piece from which popular 70s song?"|Gimmie! Gimmie! Gimme! (A Man After Midnight)
What is the last name of the primary female protagonist of Final Fantasy VIII?|Heartilly
"In ""Inuyasha"", what are the heros are looking to collect?"|Jewel Shards
